title,year
The Shawshank Redemption,(1994)
The Godfather,(1972)
The Dark Knight,(2008)
The Godfather Part II,(1974)
12 Angry Men,(1957)
Schindler's List,(1993)
The Lord of the Rings: The Return of the King,(2003)
Pulp Fiction,(1994)
The Lord of the Rings: The Fellowship of the Ring,(2001)
"Il buono, il brutto, il cattivo",(1966)
Forrest Gump,(1994)
Fight Club,(1999)
The Lord of the Rings: The Two Towers,(2002)
Inception,(2010)
The Empire Strikes Back,(1980)
The Matrix,(1999)
GoodFellas,(1990)
One Flew Over the Cuckoo's Nest,(1975)
Se7en,(1995)
Shichinin no samurai,(1954)
It's a Wonderful Life,(1946)
The Silence of the Lambs,(1991)
Cidade de Deus,(2002)
Saving Private Ryan,(1998)
La vita è bella,(1997)
Interstellar,(2014)
The Green Mile,(1999)
Star Wars,(1977)
Terminator 2: Judgment Day,(1991)
Back to the Future,(1985)
Sen to Chihiro no kamikakushi,(2001)
The Pianist,(2002)
Psycho,(1960)
Gisaengchung,(2019)
Léon,(1994)
The Lion King,(1994)
Gladiator,(2000)
American History X,(1998)
The Departed,(2006)
The Usual Suspects,(1995)
The Prestige,(2006)
Whiplash,(2014)
Casablanca,(1942)
Hotaru no haka,(1988)
Seppuku,(1962)
The Intouchables,(2011)
Modern Times,(1936)
Once Upon a Time in the West,(1968)
Rear Window,(1954)
Nuovo Cinema Paradiso,(1988)
Alien,(1979)
City Lights,(1931)
Apocalypse Now,(1979)
Memento,(2000)
Django Unchained,(2012)
Raiders of the Lost Ark,(1981)
WALL·E,(2008)
The Lives of Others,(2006)
Sunset Blvd.,(1950)
Paths of Glory,(1957)
The Shining,(1980)
The Great Dictator,(1940)
Avengers: Infinity War,(2018)
Witness for the Prosecution,(1957)
Aliens,(1986)
Spider-Man: Into the Spider-Verse,(2018)
American Beauty,(1999)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964)
The Dark Knight Rises,(2012)
Oldeuboi,(2003)
Inglourious Basterds,(2009)
Amadeus,(1984)
Coco,(2017)
Toy Story,(1995)
Joker,(2019)
Braveheart,(1995)
Das Boot,(1981)
Avengers: Endgame,(2019)
Mononoke-hime,(1997)
Once Upon a Time in America,(1984)
Good Will Hunting,(1997)
Kimi no Na wa.,(2016)
Requiem for a Dream,(2000)
3 Idiots,(2009)
Singin' in the Rain,(1952)
Toy Story 3,(2010)
Tengoku to jigoku,(1963)
Capharnaüm,(2018)
Star Wars: Episode VI - Return of the Jedi,(1983)
Eternal Sunshine of the Spotless Mind,(2004)
2001: A Space Odyssey,(1968)
Reservoir Dogs,(1992)
Jagten,(2012)
Idi i smotri,(1985)
Citizen Kane,(1941)
Lawrence of Arabia,(1962)
M - Eine Stadt sucht einen Mörder,(1931)
Top Gun: Maverick,(2022)
North by Northwest,(1959)
Vertigo,(1958)
Le fabuleux destin d'Amélie Poulain,(2001)
The Apartment,(1960)
Ikiru,(1952)
A Clockwork Orange,(1971)
Double Indemnity,(1944)
Full Metal Jacket,(1987)
Scarface,(1983)
Hamilton,(2020)
Incendies,(2010)
To Kill a Mockingbird,(1962)
The Sting,(1973)
Heat,(1995)
Up,(2009)
Jodaeiye Nader az Simin,(2011)
Taxi Driver,(1976)
Metropolis,(1927)
L.A. Confidential,(1997)
Die Hard,(1988)
Snatch,(2000)
Indiana Jones and the Last Crusade,(1989)
Ladri di biciclette,(1948)
Taare Zameen Par,(2007)
1917,(2019)
Der Untergang,(2004)
Per qualche dollaro in più,(1965)
Dangal,(2016)
Batman Begins,(2005)
The Kid,(1921)
Some Like It Hot,(1959)
The Father,(2020)
All About Eve,(1950)
Green Book,(2018)
The Wolf of Wall Street,(2013)
Judgment at Nuremberg,(1961)
Casino,(1995)
Ran,(1985)
Pan's Labyrinth,(2006)
Unforgiven,(1992)
The Truman Show,(1998)
There Will Be Blood,(2007)
The Sixth Sense,(1999)
A Beautiful Mind,(2001)
Shutter Island,(2010)
Yôjinbô,(1961)
Jurassic Park,(1993)
The Treasure of the Sierra Madre,(1948)
Monty Python and the Holy Grail,(1975)
Spider-Man: No Way Home,(2021)
The Great Escape,(1963)
No Country for Old Men,(2007)
Rashômon,(1950)
Kill Bill: Vol. 1,(2003)
The Thing,(1982)
Finding Nemo,(2003)
The Elephant Man,(1980)
Chinatown,(1974)
Raging Bull,(1980)
V for Vendetta,(2005)
Gone with the Wind,(1939)
Inside Out,(2015)
"Lock, Stock and Two Smoking Barrels",(1998)
Dial M for Murder,(1954)
El secreto de sus ojos,(2009)
Hauru no ugoku shiro,(2004)
"Three Billboards Outside Ebbing, Missouri",(2017)
The Bridge on the River Kwai,(1957)
Trainspotting,(1996)
Prisoners,(2013)
Warrior,(2011)
Fargo,(1996)
Gran Torino,(2008)
Tonari no Totoro,(1988)
Catch Me If You Can,(2002)
Million Dollar Baby,(2004)
Bacheha-Ye aseman,(1997)
Blade Runner,(1982)
The Gold Rush,(1925)
Before Sunrise,(1995)
12 Years a Slave,(2013)
On the Waterfront,(1954)
Harry Potter and the Deathly Hallows - Part 2,(2011)
Klaus,(2019)
Ben-Hur,(1959)
Gone Girl,(2014)
The Grand Budapest Hotel,(2014)
Smultronstället,(1957)
The General,(1926)
The Third Man,(1949)
In the Name of the Father,(1993)
The Deer Hunter,(1978)
Barry Lyndon,(1975)
Le salaire de la peur,(1953)
Hacksaw Ridge,(2016)
Salinui chueok,(2003)
Sherlock Jr.,(1924)
Mr. Smith Goes to Washington,(1939)
Relatos salvajes,(2014)
Mad Max: Fury Road,(2015)
Det sjunde inseglet,(1957)
Mary and Max.,(2009)
Room,(2015)
How to Train Your Dragon,(2010)
"Monsters, Inc.",(2001)
Jaws,(1975)
The Big Lebowski,(1998)
Dead Poets Society,(1989)
Tôkyô monogatari,(1953)
La passion de Jeanne d'Arc,(1928)
Hotel Rwanda,(2004)
Ford v Ferrari,(2019)
Rocky,(1976)
Platoon,(1986)
Spotlight,(2015)
Ratatouille,(2007)
The Terminator,(1984)
Stand by Me,(1986)
Logan,(2017)
Rush,(2013)
Network,(1976)
Pather Panchali,(1955)
Into the Wild,(2007)
Before Sunset,(2004)
The Wizard of Oz,(1939)
Groundhog Day,(1993)
The Best Years of Our Lives,(1946)
The Exorcist,(1973)
The Incredibles,(2004)
To Be or Not to Be,(1942)
La haine,(1995)
La battaglia di Algeri,(1966)
Hachi: A Dog's Tale,(2009)
Jai Bhim,(2021)
Pirates of the Caribbean: The Curse of the Black Pearl,(2003)
Babam ve Oglum,(2005)
The Grapes of Wrath,(1940)
Amores perros,(2000)
Rebecca,(1940)
Cool Hand Luke,(1967)
Ah-ga-ssi,(2016)
Les quatre cents coups,(1959)
The Sound of Music,(1965)
It Happened One Night,(1934)
Persona,(1966)
Life of Brian,(1979)
The Iron Giant,(1999)
Dersu Uzala,(1975)
The Help,(2011)
Aladdin,(1992)
Gandhi,(1982)
Dances with Wolves,(1990)
